date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
16:17:11	9104/9104	---M-Z	200	added ('OK')	text/html	date:Mon,%2021%20Jun%202021%2019:17:11%20GMT	https://portfoliovieira.webflow.io/	C:/Meus%20Sites/portfolio/portfoliovieira.webflow.io/index.html	(from )
16:17:11	0/0	---M--	504	error ('GATEWAY_TIMEOUT')	text/html	date:Mon,%2021%20Jun%202021%2019:17:11%20GMT	https://portfoliovieira.webflow.io/robots.txt		(from )
16:17:12	58649/58649	---M-Z	200	added ('OK')	text/css	etag:%22fd3dfabb9221c4cacc2a11ce6af62af9%22	https://uploads-ssl.webflow.com/60d0df267470995500edf7e3/css/portfoliovieira.webflow.1b665145b.css	C:/Meus%20Sites/portfolio/uploads-ssl.webflow.com/60d0df267470995500edf7e3/css/portfoliovieira.webflow.1b665145b.css	(from https://portfoliovieira.webflow.io/)
16:17:12	13188/13188	---M--	200	added ('OK')	text/javascript	date:Tue,%2003%20Mar%202020%2019:15:00%20GMT	https://ajax.googleapis.com/ajax/libs/webfont/1.6.26/webfont.js	C:/Meus%20Sites/portfolio/ajax.googleapis.com/ajax/libs/webfont/1.6.26/webfont.js	(from https://portfoliovieira.webflow.io/)
16:17:12	501/501	---M--	200	added ('OK')	image/png	etag:%22101e03dad958fb41ebf56ae3ff6f86cd%22	https://uploads-ssl.webflow.com/60d0df267470995500edf7e3/60d0df27747099eaf2edf849_n.png	C:/Meus%20Sites/portfolio/uploads-ssl.webflow.com/60d0df267470995500edf7e3/60d0df27747099eaf2edf849_n.png	(from https://portfoliovieira.webflow.io/)
16:17:13	5363/5363	---M--	200	added ('OK')	image/jpeg	etag:%22c1ace36d75e37b2a125ceab8ca4ae552%22	https://uploads-ssl.webflow.com/60d0df267470995500edf7e3/60d0df277470998b37edf84a_webclip.jpg	C:/Meus%20Sites/portfolio/uploads-ssl.webflow.com/60d0df267470995500edf7e3/60d0df277470998b37edf84a_webclip.jpg	(from https://portfoliovieira.webflow.io/)
16:17:13	8032/8032	---M-Z	200	added ('OK')	text/html	date:Mon,%2021%20Jun%202021%2019:17:13%20GMT	https://portfoliovieira.webflow.io/concept-2	C:/Meus%20Sites/portfolio/portfoliovieira.webflow.io/concept-2.html	(from https://portfoliovieira.webflow.io/)
16:17:30	8032/8032	---M-Z	200	added ('OK')	text/html	date:Mon,%2021%20Jun%202021%2019:17:13%20GMT	https://portfoliovieira.webflow.io/concept-3	C:/Meus%20Sites/portfolio/portfoliovieira.webflow.io/concept-3.html	(from https://portfoliovieira.webflow.io/)
16:17:31	104034/104034	---M--	200	added ('OK')	image/jpeg	etag:%22c37673970b6c339a5e1b5f50e6d5bc7d%22	https://uploads-ssl.webflow.com/60d0df267470995500edf7e3/60d0df277470997850edf852_t1.jpg	C:/Meus%20Sites/portfolio/uploads-ssl.webflow.com/60d0df267470995500edf7e3/60d0df277470997850edf852_t1.jpg	(from https://portfoliovieira.webflow.io/)
16:17:31	100697/100697	---M--	200	added ('OK')	image/jpeg	etag:%22041f0c4a005fa64ac631afbd10880f30%22	https://uploads-ssl.webflow.com/60d0df267470995500edf7e3/60d0df277470996cafedf853_t2.jpg	C:/Meus%20Sites/portfolio/uploads-ssl.webflow.com/60d0df267470995500edf7e3/60d0df277470996cafedf853_t2.jpg	(from https://portfoliovieira.webflow.io/)
